address,expected_group,group_kind,family,role,label_strength,ip_behaviour_class,expected_elevated_features
bc1q000d04l97quc7hvnpxfq4paxjmsrpaddu0wp45,,none,A,background,weak,stable,
bc1q0020r3vsgqqzy7zc7m8xt97jsqwrz4rsjwsgrh,,none,A,background,weak,stable,
bc1q006lqwcz2c7304twvf2jp9u2kdp53ge7gsqd40,,none,A,background,weak,stable,
bc1q006lqwcz2c7304twvf2jp9u2kdp53ge7gsqd40,E-05,scenario_instance,E,scenario_core,strong,stable,"structure,graph,flow"
bc1q007l6gn2434u3jtc82jsctw7cdww9qatl9r432,,none,A,background,weak,stable,
bc1q00a4aq2yufxhz2na7llnnh7h7l2dcv6wne0v7t,,none,A,background,weak,stable,
bc1q00c50tjdnxygkykmhd80gmsccdn985fufd7upx,,none,A,background,weak,stable,
bc1q00csqnf97cdn52e9v45krjm0zp65lgzuwv2xaa,,none,A,background,weak,stable,
bc1q00evzwwr5evfj5d5klwr04rewgdz4d6ltuufez,,none,A,background,weak,stable,
bc1q00k0mrt9uk0gz86fpvflvmfr7xh9pg40kppje3,,none,A,background,weak,stable,
bc1q00l887ak5kkm3n3tjw2y8jc8stryny6906p3nq,,none,A,background,weak,stable,
bc1q00mhn26krf46g8mvrs64mr48usunf9cwnqkp5r,,none,A,background,weak,stable,
bc1q00ntw7pcfpfgzs26u5px9r2yfm2hjklrehq6tx,,none,A,background,weak,stable,
bc1q00wkyts2vv4jl3heneyf9gyx0t3unvl5vrnul6,,none,A,background,weak,stable,
bc1q00wkyts2vv4jl3heneyf9gyx0t3unvl5vrnul6,C-12,scenario_instance,C,scenario_support,weak,stable,"flow,temporal"
bc1q020aylgw3tac4nnv36dzwxj0jmgex79lja5kd2,,none,A,background,weak,stable,
bc1q020aylgw3tac4nnv36dzwxj0jmgex79lja5kd2,C-07,scenario_instance,C,scenario_core,strong,stable,"flow,temporal"
bc1q023ljgp64hyr97lnv54vgph7klz657v3e4f3xx,,none,A,background,weak,stable,
bc1q02675k0q2gxms26nxhwwz7dppgtvg3uez4awxa,,none,A,background,weak,stable,
bc1q026arad2v9ew3u26jknv6a84dpkt6uxf3m8349,,none,A,background,weak,stable,
bc1q029njzmqsfvaj04erne2y5lcf4pftazfctyvw4,,none,A,background,weak,stable,
bc1q02c7qjlwqlmqcsu0yfcu02askkhsyhp2sshf67,,none,A,background,weak,stable,
bc1q02gfj973rg5fz5v5nfsmf2dl3z5848sdhet6ue,,none,A,background,weak,stable,
bc1q02kfeyd90yuu3e03zkxp953x4y0jyy7u8kjy9z,,none,A,background,weak,stable,
bc1q02kfeyd90yuu3e03zkxp953x4y0jyy7u8kjy9z,B-06,scenario_instance,B,scenario_core,strong,stable,temporal
bc1q02ltcc22pdvxc6ag2drfuye9h3dem4ms6wxdgl,,none,A,background,weak,stable,
bc1q02mjve8j2j7zs74unglnu3yrpwpexytc5jzahy,,none,A,background,weak,stable,
bc1q02mynjn939zlxny8p8nryqu5sunxrvgmh4c9ru,,none,A,background,weak,stable,
bc1q02mynjn939zlxny8p8nryqu5sunxrvgmh4c9ru,H-06,dense_community,H,scenario_core,weak,stable,graph
bc1q02r0xvya84drs7a3ftwezvqwvwg59rwww95hk4,,none,A,background,weak,stable,
bc1q02r0xvya84drs7a3ftwezvqwvwg59rwww95hk4,D-01,scenario_instance,D,scenario_support,weak,stable,"flow,transaction,temporal"
bc1q02v5zfegu6ux9pv957v3x8ys9hrhyspv4vekat,,none,A,background,weak,stable,
bc1q03hlwlypp42hh08ml9kx52vere7s4x000jn32v,,none,A,background,weak,stable,
bc1q03j6vdda393enh5c57lhgy84l0qxj3vp2j8t3s,,none,A,background,weak,stable,
