scenario_family,scenario_instance_id,start_timestamp,end_timestamp,record_count,wallet_count,ip_count,expected_signals,expected_pattern_kind,label_strength,contamination_note
B,B-01,2024-11-20T08:59:21Z,2024-11-20T19:19:06Z,143,29,4,temporal,none,strong,
B,B-02,2024-11-04T08:45:45Z,2024-11-04T19:27:11Z,143,22,2,temporal,none,strong,
B,B-03,2024-11-01T09:07:29Z,2024-11-01T19:25:55Z,143,25,4,temporal,none,strong,
B,B-04,2024-11-08T00:01:04Z,2024-11-08T15:51:59Z,143,23,4,temporal,strong,weak,
B,B-05,2024-11-13T08:13:28Z,2024-11-13T15:00:59Z,143,41,4,temporal,none,strong,
B,B-06,2024-11-06T09:37:37Z,2024-11-06T16:17:46Z,143,34,4,temporal,none,strong,
B,B-07,2024-11-23T08:29:47Z,2024-11-23T17:35:32Z,143,38,2,temporal,none,strong,
B,B-08,2024-11-07T09:14:02Z,2024-11-07T20:24:01Z,143,40,2,temporal,none,strong,
B,B-09,2024-11-02T00:00:19Z,2024-11-02T19:40:10Z,143,22,2,temporal,strong,weak,
B,B-10,2024-11-30T10:05:15Z,2024-11-30T17:53:28Z,143,25,2,temporal,none,strong,
B,B-11,2024-11-04T00:01:24Z,2024-11-04T20:27:16Z,143,24,4,temporal,strong,weak,
B,B-12,2024-11-27T10:04:59Z,2024-11-27T18:32:22Z,143,41,2,temporal,none,strong,
B,B-13,2024-11-03T15:05:17Z,2024-11-03T19:58:45Z,142,31,2,temporal,none,strong,
B,B-14,2024-11-28T13:25:32Z,2024-11-28T17:56:59Z,142,37,4,temporal,none,strong,
C,C-01,2024-11-22T00:00:16Z,2024-11-22T16:58:13Z,63,75,56,"flow,temporal",strong,weak,shares_ip_with_G
C,C-02,2024-11-25T00:01:23Z,2024-11-25T13:52:17Z,63,74,40,"flow,temporal",strong,weak,
C,C-03,2024-11-20T00:00:10Z,2024-11-20T15:35:58Z,63,73,64,"flow,temporal",strong,weak,
C,C-04,2024-11-15T00:01:04Z,2024-11-15T17:07:36Z,63,74,40,"flow,temporal",strong,weak,
C,C-05,2024-11-12T00:01:07Z,2024-11-12T16:37:15Z,63,71,61,"flow,temporal",strong,weak,shares_ip_with_G
C,C-06,2024-11-10T00:01:10Z,2024-11-10T19:42:53Z,63,72,53,"flow,temporal",strong,weak,
C,C-07,2024-11-20T00:01:13Z,2024-11-20T16:11:20Z,62,72,38,"flow,temporal",strong,weak,
C,C-08,2024-11-08T00:00:09Z,2024-11-08T19:22:45Z,62,75,59,"flow,temporal",strong,weak,
C,C-09,2024-11-18T00:00:59Z,2024-11-18T15:52:34Z,62,74,55,"flow,temporal",strong,weak,shares_ip_with_G
C,C-10,2024-11-09T00:00:21Z,2024-11-09T18:44:08Z,62,73,48,"flow,temporal",strong,weak,
C,C-11,2024-11-24T00:00:59Z,2024-11-24T20:32:51Z,62,72,43,"flow,temporal",strong,weak,
C,C-12,2024-11-14T00:00:27Z,2024-11-14T12:31:20Z,62,71,58,"flow,temporal",strong,weak,
D,D-01,2024-11-07T00:01:28Z,2024-11-08T13:36:12Z,20,39,2,"flow,transaction,temporal",strong,weak,near_threshold
