entity_id,ip,geo_country,asn,asn_org
,10.20.0.1,BR,64515,Synthetic BR Transit Cooperative 2
,10.20.0.2,BR,64515,Synthetic BR Transit Cooperative 2
,10.20.0.3,UA,64594,Synthetic UA Transit Cooperative 1
,10.20.0.4,US,64533,Synthetic US Transit Cooperative 2
,10.20.0.5,AR,64538,Synthetic AR Transit Cooperative 1
,10.20.0.6,ZA,64535,Synthetic ZA Transit Cooperative 2
,10.20.0.7,HK,64563,Synthetic HK Transit Cooperative 2
,10.20.0.8,CO,64551,Synthetic CO Transit Cooperative 2
,10.20.0.9,DK,64555,Synthetic DK Transit Cooperative 2
,10.20.0.10,GB,64523,Synthetic GB Transit Cooperative 2
,10.20.0.11,SE,64588,Synthetic SE Transit Cooperative 1
,10.20.0.12,AU,64513,Synthetic AU Transit Cooperative 2
,10.20.0.13,GR,64560,Synthetic GR Transit Cooperative 1
,10.20.0.14,VN,64597,Synthetic VN Transit Cooperative 2
,10.20.0.15,NG,64600,Synthetic NG Transit Cooperative 1
,10.20.0.16,ID,64564,Synthetic ID Transit Cooperative 1
,10.20.0.17,BE,64543,Synthetic BE Transit Cooperative 2
,10.20.0.18,NO,64579,Synthetic NO Transit Cooperative 2
,10.20.0.19,VN,64597,Synthetic VN Transit Cooperative 2
,10.20.0.20,TH,64591,Synthetic TH Transit Cooperative 2
,10.20.0.21,US,64532,Synthetic US Transit Cooperative 1
,10.20.0.22,DE,64519,Synthetic DE Transit Cooperative 2
,10.20.0.23,TH,64591,Synthetic TH Transit Cooperative 2
,10.20.0.24,KE,64598,Synthetic KE Transit Cooperative 1
,10.20.0.25,GB,64522,Synthetic GB Transit Cooperative 1
,10.20.0.26,GB,64522,Synthetic GB Transit Cooperative 1
,10.20.0.27,PL,64583,Synthetic PL Transit Cooperative 2
,10.20.0.28,NG,64600,Synthetic NG Transit Cooperative 1
,10.20.0.29,SG,64531,Synthetic SG Transit Cooperative 2
,10.20.0.30,CH,64544,Synthetic CH Transit Cooperative 1
,10.20.0.31,MX,64574,Synthetic MX Transit Cooperative 1
,10.20.0.32,IT,64571,Synthetic IT Transit Cooperative 2
,10.20.0.33,IL,64568,Synthetic IL Transit Cooperative 1
,10.20.0.34,AR,64539,Synthetic AR Transit Cooperative 2
,10.20.0.35,SE,64588,Synthetic SE Transit Cooperative 1
,10.20.0.36,NZ,64580,Synthetic NZ Transit Cooperative 1
,10.20.0.37,TR,64592,Synthetic TR Transit Cooperative 1
,10.20.0.38,IE,64566,Synthetic IE Transit Cooperative 1
,10.20.0.39,RO,64587,Synthetic RO Transit Cooperative 2
,10.20.0.40,MX,64575,Synthetic MX Transit Cooperative 2
,10.20.0.41,RO,64586,Synthetic RO Transit Cooperative 1
,10.20.0.42,NZ,64581,Synthetic NZ Transit Cooperative 2
,10.20.0.43,IT,64571,Synthetic IT Transit Cooperative 2
,10.20.0.44,SG,64530,Synthetic SG Transit Cooperative 1
,10.20.0.45,RO,64586,Synthetic RO Transit Cooperative 1
,10.20.0.46,CL,64547,Synthetic CL Transit Cooperative 2
,10.20.0.47,AE,64536,Synthetic AE Transit Cooperative 1
,10.20.0.48,PL,64582,Synthetic PL Transit Cooperative 1
,10.20.0.49,CZ,64553,Synthetic CZ Transit Cooperative 2
,10.20.0.50,DE,64518,Synthetic DE Transit Cooperative 1
,10.20.0.51,FI,64558,Synthetic FI Transit Cooperative 1
,10.20.0.52,CN,64548,Synthetic CN Transit Cooperative 1
,10.20.0.53,CL,64547,Synthetic CL Transit Cooperative 2
,10.20.0.54,AT,64541,Synthetic AT Transit Cooperative 2
,10.20.0.55,CZ,64553,Synthetic CZ Transit Cooperative 2
,10.20.0.56,AE,64537,Synthetic AE Transit Cooperative 2
,10.20.0.57,ES,64557,Synthetic ES Transit Cooperative 2
,10.20.0.58,TH,64591,Synthetic TH Transit Cooperative 2
,10.20.0.59,NG,64600,Synthetic NG Transit Cooperative 1
