source_record_id,txid,scenario_family,scenario_instance_id,ground_truth_role,label_strength,expected_signals,expected_pattern_kind,contamination_note
R00000001,276862487c316161c5f26b7fc9683c44f60b51901779117e81daa7f24e4b0794,F,F-18,scenario_core,strong,graph,none,
R00000002,2f121cf21948658dc8a4064972b15f34078b72347517c03f37865051793a908a,F,F-11,scenario_core,strong,graph,none,
R00000003,5569c5ce705666e1ca5fadba23a052de4c484ad8458e0ee4fc9f196597c9bf27,F,F-14,scenario_core,strong,graph,fan_in,
R00000004,15f68120065f96e3f2e25b37a760661a2d585aa334a7ee5b7171c04acd5eaf87,A,,background,weak,,none,
R00000005,5be2eb1f73de16aa18d7afebdffb6d58b3db30256e8c3553ac2cef34890f2162,F,F-11,scenario_support,,graph,strong,
R00000006,5d71a721c1c6b2eae59afbeb191beaee952445d9af726c81d6f2044a952c5280,F,F-14,scenario_support,,graph,strong,
R00000007,df846df227e6e1b7cd8a4fd0542103c7019a3b9572337df0777fded3cd08ad98,A,,background,weak,,none,
R00000008,e93a746094d9036357adf0f7a53e4daf102e9b7d099df22dadd42e87e6c9620a,F,F-18,scenario_support,,graph,strong,
R00000009,6a04c47ebfaee08afe13d461cc337e82540a615d65ead60fef77eec9a7fbee7c,A,,background,weak,,none,
R00000010,053d6ac7990a586d94179b6c044fdf9f140a8a988ccef3c1db2f038fa63f824f,A,,background,weak,,none,
R00000011,eada954bd347f5bd0e387d397bb87bc7ca65a1447aef1179e47f7ef62898f0c4,F,F-14,scenario_support,,graph,strong,
R00000012,8cda751c51e2c2ca53a37efe34aa7ae35ab3192edab1a2e7e6a9062c460265d6,A,,background,weak,,none,
R00000013,9c476e406411953fd8538c2ec1df81f1bfec2245d104b588e1e7eb62deeda8f2,F,F-18,scenario_support,,graph,strong,
R00000014,ec30d105fca88f8978d3481d2b49e0dca9d863e0314a3e852c794739b3c2a55d,F,F-11,scenario_support,,graph,strong,
R00000015,d386396ef281d3fa88045a01872bf079acc204cc2a9110b1d298830798e7c2f0,F,F-14,scenario_support,,graph,strong,
R00000016,6e0d5f15c232f64c6f056b6439be5aa3d8a154b9e93c2df1e521f1aa13fcc71e,F,F-11,scenario_support,,graph,strong,
R00000017,afca56705cbb5c231ab4a435b65d9ffbb28cd6cb81d4677c970b9751a2fad581,F,F-18,scenario_support,,graph,strong,
R00000018,cd15fc25d5eb9648635a52d4a911d1c54c9031c1c5b87f3e62cdc5ec4775fae3,F,F-18,scenario_support,,graph,strong,
R00000019,e48e201e94fddf3bb5ecfe7c886e16db71bd28c324ed04d9f2a42a3a3d289d38,F,F-14,scenario_support,,graph,strong,
R00000020,312b054024422f7d1969e97a1ca9ab0f472019a0e61966b379863fd329fba00e,F,F-11,scenario_support,,graph,strong,
R00000021,b4284d8456a6ea9c7a4b28aa6628a1b49a7d7752b79e04c7bacaf919003fcdbc,A,,background,weak,,none,
R00000022,2effe29093d8d6517b6d7ca19c6c66a19e4099aab77fd2452f05490953760f86,A,,background,weak,,none,
R00000023,9857c3b2d67e9663346d13172a0a360cc550aaba9fd44866c6a572fa5fe9ff07,A,,background,weak,,none,
R00000024,2008a71144990411cc2d90967a060dd3ef29ca755ba332759863fa63a243c167,F,F-18,scenario_support,,graph,strong,
R00000025,bc0eaac367e9acd903d3111c53f6124a3a4829e4038c5410057e94ea735b312d,F,F-14,scenario_support,,graph,strong,
R00000026,f4d27e9a367364aeec24262dc6a24dca5a9c97f839e4346429d8c546e1f486c2,F,F-11,scenario_support,,graph,strong,
R00000027,da935dabcaf73ad66bb5d41494637af830e3ada54587868af3438bf9195f8c2b,F,F-14,scenario_support,,graph,strong,
R00000028,59608dd5e8ae4d9babd65f7f4b0bbca7bb9fe033fce65e8a7e2184c4b3958510,A,,background,weak,,none,
R00000029,49b277e13415e83ee20e73511d0297f415d5830ab28592e06b650ad289f1fc57,F,F-11,scenario_support,,graph,strong,
R00000030,2a56edf52153b9683b605b99979adee02c4f49740bd110ba91dc2255f8aa1320,F,F-18,scenario_support,,graph,strong,
R00000031,f5fc86fe2f25733d101dc684099db39aebb62b0f2e57c0dbcf19c084ae59128c,A,,background,weak,,none,
R00000032,5e7f03883b94a4eea693e536a5de3b572b2effefc5f85da3fccd702dd1e22ebd,F,F-18,scenario_support,,graph,strong,
R00000033,f8aac785173a8a3e7171530482a75a71de3dfdf082b4c74d5025222f81fd1c14,F,F-11,scenario_support,,graph,strong,
R00000034,4e6a36b8fc11136e411438041138d529c4d458cee9e1be457837ebffdcb9ec32,F,F-14,scenario_support,,graph,strong,
R00000035,97d12b2f47f8435d652bd472cc7c2f6060461d61718c80791aef4a5e6647764d,F,F-11,scenario_support,,graph,strong,
R00000036,fdfcb5687b281034bd05175425ec823e58977bd8edc4766957a96873a5e0d26d,A,,background,weak,,none,
R00000037,148301cff58664e188a9e6b44ef97c416ca530a9a4501b8c309cecc23e1f6448,F,F-18,scenario_support,,graph,strong,
R00000038,d7da9d9a2c814d285eb05255c8947fb9dbfa459e680a53fbd73083af5b562455,A,,background,weak,,none,
R00000039,3febdab10c2b5bb983427c74fcb60695d7f2597a786b04f9b5915a62674c52cf,F,F-14,scenario_support,,graph,strong,
R00000040,d2513a29a53f4a1aef74e00f3fc9044f626cbdb07223b03f1696a3d285b956b1,F,F-18,scenario_support,,graph,strong,
R00000041,37362c137714b8369d0716f608786ff582924e0755f4faab6921e887f1737fae,F,F-14,scenario_support,,graph,strong,
R00000042,0f439692605333372c240ef177e607416738182453b9e5ca5a2eaaa5b23b1063,F,F-11,scenario_support,,graph,strong,
R00000043,c502fbe4ceccdc62e06c93a544b6c84cc5816f1c4ccf375ac7c5fe4aad6988ba,A,,background,weak,,none,
R00000044,35a5164905661b18ba670959850598add98329d9dbe5f54a8752a15277d0ca78,A,,background,weak,,none,
R00000045,ba3b30d782a9010bd1663325165b2102fc782a47885597bdfa070a8972376e97,F,F-11,scenario_support,,graph,strong,
R00000046,3248e9dc95c89da08959e17a0681ddb8e2047dcb9e6c74655ed880a40e5045c0,F,F-14,scenario_support,,graph,strong,
R00000047,b60a293626da683082ffdb4b7d7066143fde3efaef67fa412f481255bd1868c6,F,F-18,scenario_support,,graph,strong,
