timestamp,src_ip,dst_ip,src_port,dst_port,txid,input_addresses,output_addresses,input_amounts,output_amounts,fee,script_type,geo_country,asn,source_record_id
2024-11-01T00:00:00Z,192.0.2.179,10.20.11.138,64059,8333,276862487c316161c5f26b7fc9683c44f60b51901779117e81daa7f24e4b0794,"[""bc1qgkqtmyejs7nhhp5hl35v8hfjfr3k80cfs2ljt9"",""bc1qv2uay8u7k7zq3gg6audtfuaxj7zav45fag8zqf"",""bc1qcn26fxkuq6w78uc3t3amp7288rrfwum3s7va25""]","[""bc1qqylgl75dlsu03hsp4445722u4uav64nr00u04c""]","[""0.11565763"",""4.75471060"",""2.58989019""]","[""7.46024214""]",0.00001628,P2WPKH,ZA,AS64535 Synthetic ZA Transit Cooperative 2,R00000001
2024-11-01T00:00:00Z,10.20.4.3,10.20.7.188,45705,8333,2f121cf21948658dc8a4064972b15f34078b72347517c03f37865051793a908a,"[""bc1qg0n0kx3adwz8hd8a6v7tp3dvf92s4jvjgmtth7"",""bc1qyd5zc57dcr97e7qzcsh83xufdn4jctnmk5ue3x"",""bc1qalut9mdezaqvf57ywpm09ckes8r9wdk9g2su75""]","[""bc1qnpg8vwk570l3h6dg0acfxaz85yrrnxc6g7l4ch""]","[""2.09176436"",""3.49950695"",""2.89706826""]","[""8.48830408""]",0.00003549,P2WPKH,ID,AS64565 Synthetic ID Transit Cooperative 2,R00000002
2024-11-01T00:00:00Z,10.20.1.81,10.20.10.240,23779,8333,5569c5ce705666e1ca5fadba23a052de4c484ad8458e0ee4fc9f196597c9bf27,"[""bc1qwrf782qfydrv9657nz53vqfva87yzfas84u5ss"",""bc1q6vpevsdl3rxqupgd7yh67r2eymq65k0r5hn2wg"",""bc1qcjfv5yd8hpdgz94cqanl32afez026zcsprw5sq"",""bc1qa87u0rz7pfagkw2p2qlfr083uqengfzuljdwp6"",""bc1qfcvc9vrgay4jx9plm56jf0cx346gy3xtdywa8g""]","[""bc1qwdlrfyz8qq8e39naqcdfy23h8eyj3jp4j9n8l7""]","[""0.68261068"",""4.16522954"",""4.41560995"",""4.19506362"",""2.65506406""]","[""16.11355024""]",0.00002761,P2WPKH,CH,AS64545 Synthetic CH Transit Cooperative 2,R00000003
2024-11-01T00:00:13Z,192.0.2.1,192.0.2.233,27904,8333,15f68120065f96e3f2e25b37a760661a2d585aa334a7ee5b7171c04acd5eaf87,"[""bc1qaurtgkznrd6f93zv6vvuzvu9j33qakw7gkfmcg"",""bc1q7gwx8sgywzdzydhkn3v9vvglu7048huqecn6zc""]","[""bc1qqa29yt5wyehqtn9vdsxcqknfumg2cg8d372ny0""]","[""0.00213319"",""0.00010669""]","[""0.00221557""]",0.00002431,P2WSH,MX,AS64574 Synthetic MX Transit Cooperative 1,R00000004
2024-11-01T00:00:17Z,10.20.4.3,10.20.4.4,59380,8333,5be2eb1f73de16aa18d7afebdffb6d58b3db30256e8c3553ac2cef34890f2162,"[""bc1qyd5zc57dcr97e7qzcsh83xufdn4jctnmk5ue3x""]","[""bc1qywfu2lyw6ae2wtvuadz39ft8ermhx63rlyf4vl""]","[""2.04719828""]","[""2.04719196""]",0.00000632,P2WPKH,ID,AS64565 Synthetic ID Transit Cooperative 2,R00000005
2024-11-01T00:01:05Z,10.20.1.81,10.20.10.240,18657,8333,5d71a721c1c6b2eae59afbeb191beaee952445d9af726c81d6f2044a952c5280,"[""bc1q0surhte6p2lytmnexjcjen00t9klhsw5f7c2nq""]","[""bc1qywfu2lyw6ae2wtvuadz39ft8ermhx63rlyf4vl""]","[""0.52841438""]","[""0.52840294""]",0.00001144,P2WPKH,CH,AS64545 Synthetic CH Transit Cooperative 2,R00000006
2024-11-01T00:01:08Z,192.0.2.2,192.0.2.72,11331,8333,df846df227e6e1b7cd8a4fd0542103c7019a3b9572337df0777fded3cd08ad98,"[""bc1q7gwx8sgywzdzydhkn3v9vvglu7048huqecn6zc""]","[""bc1qg7cfz47vmpxkdl8x2e4nsvwvwjmmgnuq0w5xsp"",""bc1qj0dtjjjrf3xpgs2f8qlwc3klvw9zmtq8esse9e"",""bc1q4zgg2j2gp0c649dda3c8a6xl43wu3r266kzrv8""]","[""0.32783566""]","[""0.08680699"",""0.20790729"",""0.03309609""]",0.00002529,MultiSig,CO,AS64550 Synthetic CO Transit Cooperative 1,R00000007
2024-11-01T00:01:23Z,192.0.2.179,192.0.2.180,6028,8333,e93a746094d9036357adf0f7a53e4daf102e9b7d099df22dadd42e87e6c9620a,"[""bc1qm37j4kat3kwwsjr2y5qygc2y2n4pl6rgf3udsp""]","[""bc1qgzr2yg7p4m2l4wdjwfuzcw0anhtdlfd79cz3rm""]","[""1.00303178""]","[""1.00302408""]",0.00000770,P2WPKH,ZA,AS64535 Synthetic ZA Transit Cooperative 2,R00000008
2024-11-01T00:01:33Z,192.0.2.1,192.0.2.133,28755,8333,6a04c47ebfaee08afe13d461cc337e82540a615d65ead60fef77eec9a7fbee7c,"[""bc1q7gwx8sgywzdzydhkn3v9vvglu7048huqecn6zc""]","[""bc1qqz5sc8vv8j3yk2f3pg3h07k6l486868wdd3z8q""]","[""0.55533490""]","[""0.55531143""]",0.00002347,P2SH,MX,AS64574 Synthetic MX Transit Cooperative 1,R00000009
2024-11-01T00:02:40Z,192.0.2.6,10.20.0.1,3250,8333,053d6ac7990a586d94179b6c044fdf9f140a8a988ccef3c1db2f038fa63f824f,"[""bc1q7gwx8sgywzdzydhkn3v9vvglu7048huqecn6zc""]","[""bc1qs3txrf5t7jhksjsvu2dlf5dtrjq8z277w3sw3w""]","[""0.03945132""]","[""0.03942747""]",0.00002385,P2WPKH,SG,AS64531 Synthetic SG Transit Cooperative 2,R00000010
